Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Ryan Patrick,DEM Robert Johnson,Totals
"District Judge, 177th Judicial District",0651,1734,551,2285,3873,59.00%,1192,990,2182
"District Judge, 177th Judicial District",0652,1165,545,1710,2979,57.40%,272,1388,1660
"District Judge, 177th Judicial District",0653,185,110,295,604,48.84%,64,218,282
"District Judge, 177th Judicial District",0654,2381,698,3079,5063,60.81%,1538,1384,2922
"District Judge, 177th Judicial District",0655,1959,761,2720,4495,60.51%,1432,1135,2567
"District Judge, 177th Judicial District",0656,1106,401,1507,2737,55.06%,70,1389,1459
"District Judge, 177th Judicial District",0657,683,276,959,1487,64.49%,318,593,911
"District Judge, 177th Judicial District",0658,1299,494,1793,2901,61.81%,1091,636,1727
"District Judge, 177th Judicial District",0659,2806,733,3539,5161,68.57%,2396,990,3386
"District Judge, 177th Judicial District",0660,1575,345,1920,3087,62.20%,181,1680,1861
"District Judge, 177th Judicial District",0661,1945,774,2720,4363,62.34%,1302,1278,2580
"District Judge, 177th Judicial District",0662,2267,571,2838,4002,70.91%,2262,470,2732
"District Judge, 177th Judicial District",0663,1338,448,1786,2340,76.32%,918,728,1646
"District Judge, 177th Judicial District",0664,909,513,1422,2992,47.53%,263,1081,1344
"District Judge, 177th Judicial District",0665,1327,360,1687,2354,71.67%,1323,297,1620
"District Judge, 177th Judicial District",0666,0,0,0,0,0.00%,0,0,0
"District Judge, 177th Judicial District",0667,1109,400,1509,2175,69.38%,1108,331,1439
"District Judge, 177th Judicial District",0668,1552,719,2271,3669,61.90%,1334,846,2180
"District Judge, 177th Judicial District",0669,1889,702,2591,3585,72.27%,1735,741,2476
"District Judge, 177th Judicial District",0670,1996,416,2412,3335,72.32%,1895,411,2306
"District Judge, 177th Judicial District",0671,1398,588,1986,3198,62.10%,1061,842,1903
"District Judge, 177th Judicial District",0672,1724,489,2213,3433,64.46%,1506,634,2140
"District Judge, 177th Judicial District",0673,1525,467,2092,3051,68.57%,1638,372,2010
"District Judge, 177th Judicial District",0674,2354,610,2964,4228,70.10%,2111,737,2848
"District Judge, 177th Judicial District",0675,0,0,0,0,0.00%,0,0,0
"District Judge, 177th Judicial District",0676,1087,465,1552,2976,52.15%,567,906,1473
"District Judge, 177th Judicial District",0677,423,259,682,1300,52.46%,156,471,627
"District Judge, 177th Judicial District",0678,1164,294,1458,2660,54.81%,141,1266,1407
"District Judge, 177th Judicial District",0679,1718,529,2247,3542,63.44%,1517,613,2130
"District Judge, 177th Judicial District",0680,98,17,115,179,64.25%,48,63,111
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Ryan Patrick,DEM Robert Johnson,Totals
"District Judge, 177th Judicial District",0681,e,0,6,4,150.00%,3,3,6
"District Judge, 177th Judicial District",0682,2112,690,2802,4313,64.97%,1974,717,2691
"District Judge, 177th Judicial District",0683,82,5,87,302,28.81%,20,63,83
"District Judge, 177th Judicial District",0684,1580,640,2320,3559,65.19%,1406,808,2214
"District Judge, 177th Judicial District",0685,139,28,167,285,58.60%,79,70,149
"District Judge, 177th Judicial District",0686,53,5,58,221,26.24%,16,40,56
"District Judge, 177th Judicial District",0687,1510,400,1910,2713,70.40%,1216,587,1803
"District Judge, 177th Judicial District",0688,2333,594,2927,3922,74.63%,2282,541,2823
"District Judge, 177th Judicial District",0689,725,604,1330,2449,54.31%,551,687,1238
"District Judge, 177th Judicial District",0690,1957,553,2520,3614,69.73%,1902,504,2406
"District Judge, 177th Judicial District",0691,2131,551,2682,3690,72.68%,2028,562,2590
"District Judge, 177th Judicial District",0692,1278,678,1956,3118,62.73%,1343,513,1856
"District Judge, 177th Judicial District",0693,309,110,419,681,61.53%,109,289,398
"District Judge, 177th Judicial District",0694,1005,319,1324,2478,53.43%,516,758,1274
"District Judge, 177th Judicial District",0695,628,315,943,1842,51.19%,540,349,889
"District Judge, 177th Judicial District",0696,723,312,1035,2027,51.06%,594,410,1004
"District Judge, 177th Judicial District",0697,1299,552,1851,3238,57.16%,435,1336,1771
"District Judge, 177th Judicial District",0698,1275,520,1795,3339,53.76%,203,1530,1733
"District Judge, 177th Judicial District",0699,1276,398,1674,2387,70.13%,1057,502,1559
"District Judge, 177th Judicial District",0700,726,247,973,1536,63.35%,804,136,940
"District Judge, 177th Judicial District",0701,208,73,281,614,45.77%,115,141,256
"District Judge, 177th Judicial District",0702,183,69,252,550,45.82%,38,204,242
"District Judge, 177th Judicial District",0703,899,528,1427,1943,73.44%,1013,345,1358
"District Judge, 177th Judicial District",0704,1698,512,2210,3121,70.81%,1763,367,2130
"District Judge, 177th Judicial District",0705,331,206,537,1513,35.49%,54,470,524
"District Judge, 177th Judicial District",0706,1248,372,1620,2821,57.43%,580,933,1513
"District Judge, 177th Judicial District",0707,377,69,446,757,58.92%,266,156,422
"District Judge, 177th Judicial District",0708,162,98,260,592,43.92%,81,165,246
"District Judge, 177th Judicial District",0709,2257,528,2785,4136,67.34%,1450,1223,2673
"District Judge, 177th Judicial District",0710,1132,450,1582,2096,75.48%,869,592,1461
"District Judge, 177th Judicial District",0711,1978,599,2577,3820,67.46%,1338,1119,2457
"District Judge, 177th Judicial District",0712,1720,627,2347,4002,58.65%,807,1464,2271
"District Judge, 177th Judicial District",0713,770,365,1135,2006,56.58%,521,566,1087
"District Judge, 177th Judicial District",0714,102,28,130,306,42.48%,58,63,121
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Ryan Patrick,DEM Robert Johnson,Totals
"District Judge, 177th Judicial District",0715,553,239,792,1549,51.13%,363,386,749
"District Judge, 177th Judicial District",0716,1215,419,1635,2720,60.11%,1119,447,1566
"District Judge, 177th Judicial District",0717,974,232,1206,2082,57.93%,157,997,1154
"District Judge, 177th Judicial District",0718,2243,872,3115,4412,70.60%,1995,933,2928
"District Judge, 177th Judicial District",0719,624,223,847,1644,51.52%,409,391,800
"District Judge, 177th Judicial District",0720,2498,709,3207,4709,68.10%,2132,928,3060
"District Judge, 177th Judicial District",0721,1455,603,2059,2926,70.71%,1310,630,1940
"District Judge, 177th Judicial District",0722,1929,609,2538,4638,54.72%,164,2281,2445
"District Judge, 177th Judicial District",0723,897,261,1158,1959,59.11%,220,888,1108
"District Judge, 177th Judicial District",0724,395,146,541,800,67.63%,358,154,512
"District Judge, 177th Judicial District",0725,976,294,1270,2336,54.37%,490,705,1195
"District Judge, 177th Judicial District",0726,1271,321,1592,2207,72.13%,1354,187,1541
"District Judge, 177th Judicial District",0727,981,415,1396,2708,51.55%,369,978,1347
"District Judge, 177th Judicial District",0728,399,198,597,942,63.38%,356,206,562
"District Judge, 177th Judicial District",0729,235,49,284,471,60.30%,153,120,273
"District Judge, 177th Judicial District",0730,1360,406,1766,2435,72.53%,1110,552,1662
"District Judge, 177th Judicial District",0731,2087,624,2711,4834,56.08%,1097,1495,2592
"District Judge, 177th Judicial District",0732,791,449,1240,1943,63.82%,715,453,1168
"District Judge, 177th Judicial District",0733,55,25,80,303,26.40%,25,52,77
"District Judge, 177th Judicial District",0734,2307,556,2863,4294,66.67%,1820,930,2750
"District Judge, 177th Judicial District",0735,157,61,218,251,86.85%,114,95,209
"District Judge, 177th Judicial District",0736,14,3,17,42,40.48%,0,13,13
"District Judge, 177th Judicial District",0737,21,6,27,56,48.21%,22,5,27
"District Judge, 177th Judicial District",0738,435,214,649,1497,43.35%,103,527,630
"District Judge, 177th Judicial District",0739,978,440,1418,2971,47.73%,608,742,1350
"District Judge, 177th Judicial District",0740,280,169,449,1005,44.68%,221,200,421
"District Judge, 177th Judicial District",0741,923,262,1185,1895,62.53%,288,834,1122
"District Judge, 177th Judicial District",0742,1532,498,2030,2859,71.00%,1246,690,1936
"District Judge, 177th Judicial District",0743,54,60,114,234,48.72%,35,70,105
"District Judge, 177th Judicial District",0744,1009,444,1453,2103,69.09%,850,524,1374
"District Judge, 177th Judicial District",0745,1213,446,1659,2543,65.24%,1014,563,1577
"District Judge, 177th Judicial District",0746,244,121,365,732,49.86%,173,164,337
"District Judge, 177th Judicial District",0747,1746,693,2439,4096,59.55%,1041,1291,2332
"District Judge, 177th Judicial District",0748,563,245,808,1556,51.93%,386,387,773
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Ryan Patrick,DEM Robert Johnson,Totals
"District Judge, 177th Judicial District",0749,115,1,116,432,26.85%,17,93,110
"District Judge, 177th Judicial District",0750,294,122,416,809,51.42%,222,171,393
"District Judge, 177th Judicial District",0751,2931,1013,3944,5893,66.93%,2362,1408,3770
"District Judge, 177th Judicial District",0752,659,227,886,1484,59.70%,584,261,845
"District Judge, 177th Judicial District",0753,258,53,311,512,60.74%,122,173,295
"District Judge, 177th Judicial District",0754,386,262,648,1590,40.75%,30,599,629
"District Judge, 177th Judicial District",0755,1782,955,2737,5015,54.58%,916,1678,2594
"District Judge, 177th Judicial District",0756,687,309,996,1723,57.81%,312,630,942
"District Judge, 177th Judicial District",0757,1867,601,2468,4792,51.50%,386,1992,2378
"District Judge, 177th Judicial District",0758,2104,595,2699,3803,70.97%,2012,558,2570
"District Judge, 177th Judicial District",0759,1389,375,1764,2779,63.48%,997,680,1677
"District Judge, 177th Judicial District",0760,1219,268,1487,2162,68.78%,1197,229,1426
"District Judge, 177th Judicial District",0761,1088,167,1255,1598,78.54%,888,296,1184
"District Judge, 177th Judicial District",0762,924,303,1227,1828,67.12%,551,619,1170
"District Judge, 177th Judicial District",0763,370,264,634,1249,50.76%,181,415,596
"District Judge, 177th Judicial District",0764,2472,677,3149,4827,65.24%,1848,1149,2997
"District Judge, 177th Judicial District",0765,2051,874,2925,5742,50.94%,774,2036,2810
"District Judge, 177th Judicial District",0766,126,59,185,428,43.22%,26,136,162
"District Judge, 177th Judicial District",0767,31,15,46,92,50.00%,20,23,43
"District Judge, 177th Judicial District",0768,1479,387,1866,2643,70.60%,1434,351,1785
"District Judge, 177th Judicial District",0769,85,14,99,184,53.80%,7,90,97
"District Judge, 177th Judicial District",0770,103,42,145,388,37.37%,46,93,139
"District Judge, 177th Judicial District",0771,572,210,782,1588,49.24%,335,408,743
"District Judge, 177th Judicial District",0772,2805,477,3282,4606,71.25%,2395,734,3129
"District Judge, 177th Judicial District",0773,1693,638,2331,4414,52.81%,561,1610,2171
"District Judge, 177th Judicial District",0774,150,66,216,426,50.70%,52,158,210
"District Judge, 177th Judicial District",0775,50,1,51,102,50.00%,1,49,50
"District Judge, 177th Judicial District",0776,1432,538,1970,3276,60.13%,1096,783,1879
"District Judge, 177th Judicial District",0777,201,105,306,767,39.90%,76,219,295
"District Judge, 177th Judicial District",0778,0,3,3,0,0.00%,0,3,3
"District Judge, 177th Judicial District",0779,263,160,423,1019,41.51%,98,286,384
"District Judge, 177th Judicial District",0780,170,130,300,666,45.05%,93,181,274
"District Judge, 177th Judicial District",0781,1235,612,1847,3782,48.84%,566,1134,1700
"District Judge, 177th Judicial District",0782,1048,368,1416,2355,60.13%,832,508,1340
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Ryan Patrick,DEM Robert Johnson,Totals
"District Judge, 177th Judicial District",0783,197,90,287,520,55.19%,20,255,275
"District Judge, 177th Judicial District",0784,408,119,527,1062,49.62%,16,492,508
"District Judge, 177th Judicial District",0785,1229,357,1586,1896,83.65%,816,696,1512
"District Judge, 177th Judicial District",0786,396,177,573,1258,45.55%,178,362,540
"District Judge, 177th Judicial District",0787,180,83,263,542,48.52%,76,171,247
"District Judge, 177th Judicial District",0788,2,0,2,13,15.38%,2,0,2
"District Judge, 177th Judicial District",0789,1377,420,1797,2998,59.94%,1044,682,1726
"District Judge, 177th Judicial District",0790,1143,329,1472,2523,58.34%,493,917,1410
"District Judge, 177th Judicial District",0791,9,3,12,29,41.38%,3,9,12
"District Judge, 177th Judicial District",0792,648,415,1063,1954,54.40%,247,763,1010
"District Judge, 177th Judicial District",0793,984,416,1400,2620,53.44%,701,624,1325
"District Judge, 177th Judicial District",0794,626,411,1037,3208,32.33%,100,900,1000
"District Judge, 177th Judicial District",0795,396,2,398,1281,31.07%,114,254,368
"District Judge, 177th Judicial District",0796,1371,465,1836,3041,60.37%,747,1025,1772
"District Judge, 177th Judicial District",0797,0,0,0,0,0.00%,0,0,0
"District Judge, 177th Judicial District",0798,222,142,364,521,69.87%,138,206,344
"District Judge, 177th Judicial District",0799,58,26,84,171,49.12%,15,67,82
"District Judge, 177th Judicial District",0800,1934,730,2664,4216,63.19%,1603,937,2540
"District Judge, 177th Judicial District",0801,90,44,134,261,51.34%,45,84,129
"District Judge, 177th Judicial District",0802,54,21,75,224,33.48%,20,52,72
"District Judge, 177th Judicial District",0803,2665,547,3212,4514,71.16%,2204,870,3074
"District Judge, 177th Judicial District",0804,2703,682,3385,5303,63.83%,1752,1506,3258
"District Judge, 177th Judicial District",0805,1597,454,2051,2874,71.36%,1582,381,1963
"District Judge, 177th Judicial District",0806,1001,324,1325,1889,70.14%,799,475,1274
"District Judge, 177th Judicial District",0807,792,349,1141,2163,52.75%,195,908,1103
"District Judge, 177th Judicial District",0808,142,57,199,232,85.78%,75,110,185
"District Judge, 177th Judicial District",0809,19,7,26,98,26.53%,13,12,25
"District Judge, 177th Judicial District",0810,47,31,78,197,39.59%,10,60,70
"District Judge, 177th Judicial District",0811,82,68,150,277,54.15%,34,111,145
"District Judge, 177th Judicial District",0812,0,0,0,0,0.00%,0,0,0
"District Judge, 177th Judicial District",0813,1742,434,2176,3488,62.39%,944,1149,2093
"District Judge, 177th Judicial District",0814,1968,827,2795,5483,50.98%,542,2146,2688
"District Judge, 177th Judicial District",0815,0,0,0,0,0.00%,0,0,0
"District Judge, 177th Judicial District",0816,23,10,33,64,51.56%,5,26,31
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Ryan Patrick,DEM Robert Johnson,Totals
"District Judge, 177th Judicial District",0817,2787,550,3337,4700,71.00%,2310,913,3223
"District Judge, 177th Judicial District",0818,208,104,312,737,42.33%,63,235,298
"District Judge, 177th Judicial District",0819,108,31,139,228,60.96%,70,54,124
"District Judge, 177th Judicial District",0820,0,0,0,0,0.00%,0,0,0
"District Judge, 177th Judicial District",0821,362,188,550,1295,42.47%,68,452,520
"District Judge, 177th Judicial District",0822,571,185,756,1574,48.03%,28,695,723
"District Judge, 177th Judicial District",0823,1339,410,1749,3017,57.97%,913,758,1671
"District Judge, 177th Judicial District",0824,1057,410,1467,2762,53.11%,306,1104,1410
"District Judge, 177th Judicial District",0825,9,7,16,21,76.19%,3,12,15
"District Judge, 177th Judicial District",0826,177,70,247,355,69.58%,131,94,225
"District Judge, 177th Judicial District",0827,218,234,452,1042,43.38%,141,295,436
"District Judge, 177th Judicial District",0828,1174,281,1455,1965,74.05%,1115,273,1388
"District Judge, 177th Judicial District",0829,101,19,120,235,51.06%,33,80,113
"District Judge, 177th Judicial District",0830,2,2,4,2,200.00%,4,0,4
"District Judge, 177th Judicial District",0831,8,5,13,36,36.11%,6,6,12
"District Judge, 177th Judicial District",0832,124,50,174,364,47.80%,44,120,164
"District Judge, 177th Judicial District",0833,3,2,5,20,25.00%,1,3,4
"District Judge, 177th Judicial District",0834,142,61,203,388,52.32%,21,179,200
"District Judge, 177th Judicial District",0835,87,71,158,311,50.80%,39,109,148
"District Judge, 177th Judicial District",0836,128,0,128,248,51.61%,11,106,117
"District Judge, 177th Judicial District",0837,0,0,0,0,0.00%,0,0,0
"District Judge, 177th Judicial District",0838,0,0,0,0,0.00%,0,0,0
"District Judge, 177th Judicial District",0839,419,174,593,1190,49.83%,130,438,568
"District Judge, 177th Judicial District",0840,829,228,1057,1780,59.38%,342,659,1001
"District Judge, 177th Judicial District",0841,1473,475,1948,3431,56.78%,442,1441,1883
"District Judge, 177th Judicial District",0842,1338,513,1851,3390,54.60%,711,1041,1752
"District Judge, 177th Judicial District",0843,595,298,893,1387,64.38%,165,693,858
"District Judge, 177th Judicial District",0844,4,0,4,10,40.00%,0,4,4
"District Judge, 177th Judicial District",0845,151,13,164,218,75.23%,98,56,154
"District Judge, 177th Judicial District",0846,51,22,83,229,36.24%,1,80,81
"District Judge, 177th Judicial District",0847,993,330,1323,2310,57.27%,338,928,1266
"District Judge, 177th Judicial District",0848,1011,201,1212,1875,64.64%,374,778,1152
"District Judge, 177th Judicial District",0849,731,455,1186,2272,52.20%,308,785,1093
"District Judge, 177th Judicial District",0850,129,19,148,208,71.15%,58,83,141
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Ryan Patrick,DEM Robert Johnson,Totals
"District Judge, 177th Judicial District",0851,1885,441,2326,3597,64.66%,1516,701,2217
"District Judge, 177th Judicial District",0852,0,0,0,1,0.00%,0,0,0
"District Judge, 177th Judicial District",0853,1637,487,2124,2986,71.13%,1569,470,2039
"District Judge, 177th Judicial District",0854,40,19,59,175,33.71%,8,49,57
"District Judge, 177th Judicial District",0855,7,2,9,21,42.86%,4,4,8
"District Judge, 177th Judicial District",0856,0,3,3,0,0.00%,0,1,1
"District Judge, 177th Judicial District",0857,0,0,0,1,0.00%,0,0,0
"District Judge, 177th Judicial District",0858,121,35,156,334,46.71%,6,140,146
"District Judge, 177th Judicial District",0859,391,143,534,945,56.51%,111,395,506
"District Judge, 177th Judicial District",0860,1,1,2,0,0.00%,0,2,2
"District Judge, 177th Judicial District",0861,777,272,1049,1941,54.04%,169,844,1013
"District Judge, 177th Judicial District",0862,1989,508,2497,3739,66.78%,1441,958,2399
"District Judge, 177th Judicial District",0863,192,64,256,581,44.06%,13,237,250
"District Judge, 177th Judicial District",0864,693,574,1267,2708,46.79%,271,921,1192
"District Judge, 177th Judicial District",0865,9,2,11,21,52.38%,0,11,11
"District Judge, 177th Judicial District",0866,0,0,0,0,0.00%,0,0,0
"District Judge, 177th Judicial District",0867,0,0,0,0,0.00%,0,0,0
"District Judge, 177th Judicial District",0868,736,495,1231,2446,50.33%,310,854,1164
"District Judge, 177th Judicial District",0869,165,55,220,480,45.83%,29,185,214
"District Judge, 177th Judicial District",0870,0,2,2,0,0.00%,2,0,2
"District Judge, 177th Judicial District",0871,2,1,3,3,100.00%,1,2,3
"District Judge, 177th Judicial District",0872,16,6,22,68,32.35%,12,10,22
"District Judge, 177th Judicial District",0873,296,111,407,778,52.31%,91,301,392
"District Judge, 177th Judicial District",0874,1681,670,2351,3294,71.37%,1701,555,2256
"District Judge, 177th Judicial District",0875,1947,501,2448,3592,68.15%,1140,1212,2352
"District Judge, 177th Judicial District",0876,1945,577,2522,3485,72.37%,1734,687,2421
"District Judge, 177th Judicial District",0877,1803,528,2331,3651,63.85%,881,1375,2256
"District Judge, 177th Judicial District",0878,685,110,795,1039,76.52%,637,123,760
"District Judge, 177th Judicial District",0879,1215,413,1628,2843,57.26%,674,887,1561
"District Judge, 177th Judicial District",0880,1354,471,1825,2467,73.98%,1352,409,1761
"District Judge, 177th Judicial District",0881,2465,927,3392,5638,60.16%,876,2404,3280
"District Judge, 177th Judicial District",0882,1952,595,2547,4317,59.00%,742,1691,2433
"District Judge, 177th Judicial District",0883,2252,928,3180,5613,56.65%,547,2505,3052
"District Judge, 177th Judicial District",0884,149,55,204,396,51.52%,31,168,199
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Ryan Patrick,DEM Robert Johnson,Totals
"District Judge, 177th Judicial District",0885,1570,323,1893,2811,67.34%,1058,772,1830
"District Judge, 177th Judicial District",0886,495,152,647,906,71.41,%,345,251,596
"District Judge, 177th Judicial District",0887,234,95,329,492,66.87%,175,119,294
"District Judge, 177th Judicial District",0888,817,289,1106,1867,59.24%,356,707,1063
"District Judge, 177th Judicial District",0889,113,28,141,238,59.24%,42,90,132
"District Judge, 177th Judicial District",0890,445,98,543,1214,44.73%,231,270,501
"District Judge, 177th Judicial District",0891,753,194,947,1376,68.82%,363,529,892
"District Judge, 177th Judicial District",0892,420,123,543,900,60.33%,192,313,505
"District Judge, 177th Judicial District",0893,1,4,5,9,55.56%,2,3,5
"District Judge, 177th Judicial District",0894,801,305,1106,2087,52.99%,144,922,1066
"District Judge, 177th Judicial District",0895,417,252,669,834,80.22%,320,291,611
"District Judge, 177th Judicial District",0896,838,254,1092,1467,74.44%,415,609,1024
"District Judge, 177th Judicial District",0897,812,365,1177,1766,66.65%,621,497,1118
"District Judge, 177th Judicial District",0898,792,301,1093,1821,60.02%,435,618,1053
"District Judge, 177th Judicial District",0899,745,165,911,1264,72.07%,565,318,883
"District Judge, 177th Judicial District",0900,7,0,7,12,58.33%,1,6,7
"District Judge, 177th Judicial District",0901,0,0,0,0,0.00%,0,0,0
"District Judge, 177th Judicial District",0902,1310,361,1671,2217,75.37%,872,681,1553
"District Judge, 177th Judicial District",0903,1314,354,1668,2558,65.21%,1201,407,1608
"District Judge, 177th Judicial District",0904,2,0,2,8,25.00%,1,1,2
"District Judge, 177th Judicial District",0905,390,136,526,946,55.60%,197,306,503
"District Judge, 177th Judicial District",0906,19,3,22,28,78.57%,14,8,22
"District Judge, 177th Judicial District",0907,53,37,90,201,44.78%,8,80,88
"District Judge, 177th Judicial District",0908,0,0,0,0,0.00%,0,0,0
"District Judge, 177th Judicial District",0909,7,1,8,21,38.10%,2,5,7
"District Judge, 177th Judicial District",0910,78,37,115,236,48.73%,37,68,105
"District Judge, 177th Judicial District",0911,237,63,300,576,52.08%,187,103,290
"District Judge, 177th Judicial District",0912,712,167,879,1341,65.55%,495,331,826
"District Judge, 177th Judicial District",0913,102,12,114,241,47.30%,20,89,109
"District Judge, 177th Judicial District",0914,42,0,42,124,33.87%,8,32,40
"District Judge, 177th Judicial District",0915,0,0,0,0,0.00%,0,0,0
"District Judge, 177th Judicial District",0916,1472,308,1780,2205,80.73%,1325,371,1696
"District Judge, 177th Judicial District",0917,33,9,42,147,28.57%,3,35,38
"District Judge, 177th Judicial District",0918,3,1,4,7,57.14%,2,2,4
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Ryan Patrick,DEM Robert Johnson,Totals
"District Judge, 177th Judicial District",0919,1,0,1,1,100.00%,0,1,1
"District Judge, 177th Judicial District",0920,41,13,54,79,68.35%,31,20,51
"District Judge, 177th Judicial District",0921,27,6,33,61,54.10%,7,25,32
"District Judge, 177th Judicial District",0922,0,0,0,0,0.00%,0,0,0
"District Judge, 177th Judicial District",0923,2331,350,2681,3536,75.82%,1999,615,2614
"District Judge, 177th Judicial District",0924,0,0,0,0,0.00%,0,0,0
"District Judge, 177th Judicial District",0925,0,0,0,0,0.00%,0,0,0
"District Judge, 177th Judicial District",0926,550,149,699,967,72.29%,468,197,665
"District Judge, 177th Judicial District",0927,966,173,1139,1771,64.31%,573,483,1056
"District Judge, 177th Judicial District",0928,4,1,5,7,71.43%,0,5,5
"District Judge, 177th Judicial District",0929,0,0,0,0,0.00%,0,0,0
"District Judge, 177th Judicial District",0930,217,83,300,606,49.50%,22,266,288
"District Judge, 177th Judicial District",0931,67,28,115,141,81.56%,49,55,104
"District Judge, 177th Judicial District",0932,0,1,1,0,0.00%,0,1,1
"District Judge, 177th Judicial District",0933,297,93,390,668,58.38%,120,256,376
"District Judge, 177th Judicial District",0934,9,4,13,37,35.14%,8,5,13
"District Judge, 177th Judicial District",0935,12,9,21,55,38.18%,7,14,21
"District Judge, 177th Judicial District",0936,23,9,32,76,42.11%,7,21,28
"District Judge, 177th Judicial District",0937,0,0,0,0,0.00%,0,0,0
"District Judge, 177th Judicial District",0938,72,19,91,255,35.69%,32,59,91
"District Judge, 177th Judicial District",0939,1,1,2,4,50.00%,1,1,2
"District Judge, 177th Judicial District",0940,9,3,12,28,42.86%,1,11,12
"District Judge, 177th Judicial District",0941,264,144,428,870,49.20%,210,193,403
"District Judge, 177th Judicial District",0942,102,16,118,152,77.63%,83,33,116
"District Judge, 177th Judicial District",0943,192,28,220,774,28.42%,50,154,204
"District Judge, 177th Judicial District",0944,1,0,1,1,100.00%,0,1,1
"District Judge, 177th Judicial District",0945,6,6,14,21,66.67%,2,11,13
"District Judge, 177th Judicial District",0946,4,2,6,14,42.86%,1,5,6
"District Judge, 177th Judicial District",0947,426,198,626,820,76.34%,322,260,582
"District Judge, 177th Judicial District",0948,0,0,0,1,0.00%,0,0,0
"District Judge, 177th Judicial District",0949,64,61,145,210,69.05%,67,68,135
"District Judge, 177th Judicial District",0950,0,0,0,0,0.00%,0,0,0
"District Judge, 177th Judicial District",0951,114,62,176,304,57.89%,43,122,165
"District Judge, 177th Judicial District",0952,32,15,47,65,72.31%,29,16,45
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Ryan Patrick,DEM Robert Johnson,Totals
"District Judge, 177th Judicial District",0953,4,0,4,8,50.00%,0,4,4
"District Judge, 177th Judicial District",0954,0,0,0,0,0.00%,0,0,0
"District Judge, 177th Judicial District",0955,3528,572,4100,5108,80.27%,2862,1046,3908
"District Judge, 177th Judicial District",0956,0,0,0,0,0.00%,0,0,0
"District Judge, 177th Judicial District",0957,282,39,321,585,54.87%,39,272,311
"District Judge, 177th Judicial District",0958,430,231,661,1202,54.99%,117,513,630
"District Judge, 177th Judicial District",0959,0,0,0,0,0.00%,0,0,0
"District Judge, 177th Judicial District",0960,829,235,1064,1471,72.33%,232,797,1029
"District Judge, 177th Judicial District",0961,820,318,1138,2369,48.04%,173,917,1090
"District Judge, 177th Judicial District",0962,33,12,45,88,51.14%,9,34,43
"District Judge, 177th Judicial District",0963,225,91,316,528,59.85%,130,170,300
"District Judge, 177th Judicial District",0964,2145,325,2470,3179,77.70%,1409,960,2369
"District Judge, 177th Judicial District",0965,101,35,136,345,39.42%,87,40,127
"District Judge, 177th Judicial District",0966,368,189,557,1332,41.82%,127,395,522
"District Judge, 177th Judicial District",0967,82,24,106,186,56.99%,36,65,101
"District Judge, 177th Judicial District",0968,455,127,582,906,64.24%,120,443,563
"District Judge, 177th Judicial District",0969,299,71,370,624,59.29%,6,355,361
"District Judge, 177th Judicial District",0970,223,102,325,810,40.12%,33,269,302
"District Judge, 177th Judicial District",0971,0,0,0,0,0.00%,0,0,0
"District Judge, 177th Judicial District",0972,0,0,0,0,0.00%,0,0,0
"District Judge, 177th Judicial District",0973,504,138,642,999,64.26%,422,190,612
"District Judge, 177th Judicial District",0974,0,1,1,0,0.00%,1,0,1
"District Judge, 177th Judicial District",0975,104,26,130,190,68.42%,58,62,120
"District Judge, 177th Judicial District",0976,190,152,342,712,48.03%,165,154,319
"District Judge, 177th Judicial District",0977,160,108,268,617,43.44%,90,168,258
"District Judge, 177th Judicial District",0978,0,0,0,0,0.00%,0,0,0
"District Judge, 177th Judicial District",0979,0,0,0,0,0.00%,0,0,0
"District Judge, 177th Judicial District",0980,686,333,1019,1412,72.17%,704,256,960
"District Judge, 177th Judicial District",0981,12,2,14,31,45.16%,1,12,13
"District Judge, 177th Judicial District",0982,1898,501,2399,2916,82.27%,1796,501,2297
"District Judge, 177th Judicial District",0983,55,17,82,198,41.41,%,44,36,80
"District Judge, 177th Judicial District",0984,75,57,133,341,39.00%,11,120,131
"District Judge, 177th Judicial District",0985,222,56,278,355,78.31%,128,136,264
"District Judge, 177th Judicial District",0986,153,78,231,537,43.02%,23,201,224
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Ryan Patrick,DEM Robert Johnson,Totals
"District Judge, 177th Judicial District",0987,476,130,606,1183,51.23%,39,541,580
