Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Fred Shuchart,DEM Elaine Palmer,Totals
"District Judge, 215th Judicial District",0651,1734,551,2285,3873,59.00%,1171,1013,2184
"District Judge, 215th Judicial District",0652,1165,545,1710,2979,57.40%,252,1406,1658
"District Judge, 215th Judicial District",0653,185,110,295,604,48.84%,63,218,281
"District Judge, 215th Judicial District",0654,2381,698,3079,5063,60.81%,1478,1437,2915
"District Judge, 215th Judicial District",0655,1959,761,2720,4495,60.51%,1402,1162,2564
"District Judge, 215th Judicial District",0656,1106,401,1507,2737,55.06%,66,1395,1461
"District Judge, 215th Judicial District",0657,683,276,959,1487,64.49%,309,600,909
"District Judge, 215th Judicial District",0658,1299,494,1793,2901,61.81%,1047,672,1719
"District Judge, 215th Judicial District",0659,2806,733,3539,5161,68.57%,2357,1029,3386
"District Judge, 215th Judicial District",0660,1575,345,1920,3087,62.20%,174,1682,1856
"District Judge, 215th Judicial District",0661,1945,774,2720,4363,62.34%,1273,1304,2577
"District Judge, 215th Judicial District",0662,2267,571,2838,4002,70.91%,2211,514,2725
"District Judge, 215th Judicial District",0663,1338,448,1786,2340,76.32%,895,744,1639
"District Judge, 215th Judicial District",0664,909,513,1422,2992,47.53%,240,1103,1343
"District Judge, 215th Judicial District",0665,1327,360,1687,2354,71.67%,1303,315,1618
"District Judge, 215th Judicial District",0666,0,0,0,0,0.00%,0,0,0
"District Judge, 215th Judicial District",0667,1109,400,1509,2175,69.38%,1083,350,1433
"District Judge, 215th Judicial District",0668,1552,719,2271,3669,61.90%,1301,887,2188
"District Judge, 215th Judicial District",0669,1889,702,2591,3585,72.27%,1695,776,2471
"District Judge, 215th Judicial District",0670,1996,416,2412,3335,72.32%,1870,437,2307
"District Judge, 215th Judicial District",0671,1398,588,1986,3198,62.10%,1023,876,1899
"District Judge, 215th Judicial District",0672,1724,489,2213,3433,64.46%,1473,665,2138
"District Judge, 215th Judicial District",0673,1525,467,2092,3051,68.57%,1607,398,2005
"District Judge, 215th Judicial District",0674,2354,610,2964,4228,70.10%,2079,767,2846
"District Judge, 215th Judicial District",0675,0,0,0,0,0.00%,0,0,0
"District Judge, 215th Judicial District",0676,1087,465,1552,2976,52.15%,546,927,1473
"District Judge, 215th Judicial District",0677,423,259,682,1300,52.46%,150,477,627
"District Judge, 215th Judicial District",0678,1164,294,1458,2660,54.81%,138,1268,1406
"District Judge, 215th Judicial District",0679,1718,529,2247,3542,63.44%,1487,637,2124
"District Judge, 215th Judicial District",0680,98,17,115,179,64.25%,46,65,111
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Fred Shuchart,DEM Elaine Palmer,Totals
"District Judge, 215th Judicial District",0681,e,0,6,4,150.00%,3,3,6
"District Judge, 215th Judicial District",0682,2112,690,2802,4313,64.97%,1947,743,2690
"District Judge, 215th Judicial District",0683,82,5,87,302,28.81%,21,61,82
"District Judge, 215th Judicial District",0684,1580,640,2320,3559,65.19%,1380,834,2214
"District Judge, 215th Judicial District",0685,139,28,167,285,58.60%,78,72,150
"District Judge, 215th Judicial District",0686,53,5,58,221,26.24%,17,39,56
"District Judge, 215th Judicial District",0687,1510,400,1910,2713,70.40%,1193,600,1793
"District Judge, 215th Judicial District",0688,2333,594,2927,3922,74.63%,2249,572,2821
"District Judge, 215th Judicial District",0689,725,604,1330,2449,54.31%,529,703,1232
"District Judge, 215th Judicial District",0690,1957,553,2520,3614,69.73%,1870,534,2404
"District Judge, 215th Judicial District",0691,2131,551,2682,3690,72.68%,2010,574,2584
"District Judge, 215th Judicial District",0692,1278,678,1956,3118,62.73%,1315,535,1850
"District Judge, 215th Judicial District",0693,309,110,419,681,61.53%,106,289,395
"District Judge, 215th Judicial District",0694,1005,319,1324,2478,53.43%,503,771,1274
"District Judge, 215th Judicial District",0695,628,315,943,1842,51.19%,534,351,885
"District Judge, 215th Judicial District",0696,723,312,1035,2027,51.06%,596,404,1000
"District Judge, 215th Judicial District",0697,1299,552,1851,3238,57.16%,420,1353,1773
"District Judge, 215th Judicial District",0698,1275,520,1795,3339,53.76%,189,1541,1730
"District Judge, 215th Judicial District",0699,1276,398,1674,2387,70.13%,1029,519,1548
"District Judge, 215th Judicial District",0700,726,247,973,1536,63.35%,789,147,936
"District Judge, 215th Judicial District",0701,208,73,281,614,45.77%,115,140,255
"District Judge, 215th Judicial District",0702,183,69,252,550,45.82%,34,206,240
"District Judge, 215th Judicial District",0703,899,528,1427,1943,73.44%,989,365,1354
"District Judge, 215th Judicial District",0704,1698,512,2210,3121,70.81%,1743,384,2127
"District Judge, 215th Judicial District",0705,331,206,537,1513,35.49%,49,474,523
"District Judge, 215th Judicial District",0706,1248,372,1620,2821,57.43%,561,950,1511
"District Judge, 215th Judicial District",0707,377,69,446,757,58.92%,256,166,422
"District Judge, 215th Judicial District",0708,162,98,260,592,43.92%,78,169,247
"District Judge, 215th Judicial District",0709,2257,528,2785,4136,67.34%,1427,1239,2666
"District Judge, 215th Judicial District",0710,1132,450,1582,2096,75.48%,839,612,1451
"District Judge, 215th Judicial District",0711,1978,599,2577,3820,67.46%,1293,1155,2448
"District Judge, 215th Judicial District",0712,1720,627,2347,4002,58.65%,790,1479,2269
"District Judge, 215th Judicial District",0713,770,365,1135,2006,56.58%,510,574,1084
"District Judge, 215th Judicial District",0714,102,28,130,306,42.48%,57,65,122
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Fred Shuchart,DEM Elaine Palmer,Totals
"District Judge, 215th Judicial District",0715,553,239,792,1549,51.13%,349,400,749
"District Judge, 215th Judicial District",0716,1215,419,1635,2720,60.11%,1110,453,1563
"District Judge, 215th Judicial District",0717,974,232,1206,2082,57.93%,149,1007,1156
"District Judge, 215th Judicial District",0718,2243,872,3115,4412,70.60%,1934,986,2920
"District Judge, 215th Judicial District",0719,624,223,847,1644,51.52%,401,399,800
"District Judge, 215th Judicial District",0720,2498,709,3207,4709,68.10%,2099,962,3061
"District Judge, 215th Judicial District",0721,1455,603,2059,2926,70.71%,1292,650,1942
"District Judge, 215th Judicial District",0722,1929,609,2538,4638,54.72%,149,2300,2449
"District Judge, 215th Judicial District",0723,897,261,1158,1959,59.11%,204,905,1109
"District Judge, 215th Judicial District",0724,395,146,541,800,67.63%,345,168,513
"District Judge, 215th Judicial District",0725,976,294,1270,2336,54.37%,474,719,1193
"District Judge, 215th Judicial District",0726,1271,321,1592,2207,72.13%,1341,194,1535
"District Judge, 215th Judicial District",0727,981,415,1396,2708,51.55%,357,985,1342
"District Judge, 215th Judicial District",0728,399,198,597,942,63.38%,340,222,562
"District Judge, 215th Judicial District",0729,235,49,284,471,60.30%,152,120,272
"District Judge, 215th Judicial District",0730,1360,406,1766,2435,72.53%,1089,575,1664
"District Judge, 215th Judicial District",0731,2087,624,2711,4834,56.08%,1065,1529,2594
"District Judge, 215th Judicial District",0732,791,449,1240,1943,63.82%,697,465,1162
"District Judge, 215th Judicial District",0733,55,25,80,303,26.40%,25,52,77
"District Judge, 215th Judicial District",0734,2307,556,2863,4294,66.67%,1803,946,2749
"District Judge, 215th Judicial District",0735,157,61,218,251,86.85%,110,99,209
"District Judge, 215th Judicial District",0736,14,3,17,42,40.48%,0,13,13
"District Judge, 215th Judicial District",0737,21,6,27,56,48.21%,21,6,27
"District Judge, 215th Judicial District",0738,435,214,649,1497,43.35%,101,530,631
"District Judge, 215th Judicial District",0739,978,440,1418,2971,47.73%,593,757,1350
"District Judge, 215th Judicial District",0740,280,169,449,1005,44.68%,220,201,421
"District Judge, 215th Judicial District",0741,923,262,1185,1895,62.53%,275,845,1120
"District Judge, 215th Judicial District",0742,1532,498,2030,2859,71.00%,1218,714,1932
"District Judge, 215th Judicial District",0743,54,60,114,234,48.72%,38,67,105
"District Judge, 215th Judicial District",0744,1009,444,1453,2103,69.09%,830,545,1375
"District Judge, 215th Judicial District",0745,1213,446,1659,2543,65.24%,980,594,1574
"District Judge, 215th Judicial District",0746,244,121,365,732,49.86%,165,172,337
"District Judge, 215th Judicial District",0747,1746,693,2439,4096,59.55%,1003,1325,2328
"District Judge, 215th Judicial District",0748,563,245,808,1556,51.93%,371,401,772
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Fred Shuchart,DEM Elaine Palmer,Totals
"District Judge, 215th Judicial District",0749,115,1,116,432,26.85%,15,95,110
"District Judge, 215th Judicial District",0750,294,122,416,809,51.42%,219,172,391
"District Judge, 215th Judicial District",0751,2931,1013,3944,5893,66.93%,2322,1447,3769
"District Judge, 215th Judicial District",0752,659,227,886,1484,59.70%,563,278,841
"District Judge, 215th Judicial District",0753,258,53,311,512,60.74%,117,179,296
"District Judge, 215th Judicial District",0754,386,262,648,1590,40.75%,30,598,628
"District Judge, 215th Judicial District",0755,1782,955,2737,5015,54.58%,868,1718,2586
"District Judge, 215th Judicial District",0756,687,309,996,1723,57.81%,297,644,941
"District Judge, 215th Judicial District",0757,1867,601,2468,4792,51.50%,370,2008,2378
"District Judge, 215th Judicial District",0758,2104,595,2699,3803,70.97%,1986,580,2566
"District Judge, 215th Judicial District",0759,1389,375,1764,2779,63.48%,981,691,1672
"District Judge, 215th Judicial District",0760,1219,268,1487,2162,68.78%,1183,244,1427
"District Judge, 215th Judicial District",0761,1088,167,1255,1598,78.54%,868,315,1183
"District Judge, 215th Judicial District",0762,924,303,1227,1828,67.12%,525,642,1167
"District Judge, 215th Judicial District",0763,370,264,634,1249,50.76%,176,419,595
"District Judge, 215th Judicial District",0764,2472,677,3149,4827,65.24%,1819,1174,2993
"District Judge, 215th Judicial District",0765,2051,874,2925,5742,50.94%,755,2054,2809
"District Judge, 215th Judicial District",0766,126,59,185,428,43.22%,22,142,164
"District Judge, 215th Judicial District",0767,31,15,46,92,50.00%,18,25,43
"District Judge, 215th Judicial District",0768,1479,387,1866,2643,70.60%,1406,374,1780
"District Judge, 215th Judicial District",0769,85,14,99,184,53.80%,6,91,97
"District Judge, 215th Judicial District",0770,103,42,145,388,37.37%,46,92,138
"District Judge, 215th Judicial District",0771,572,210,782,1588,49.24%,320,422,742
"District Judge, 215th Judicial District",0772,2805,477,3282,4606,71.25%,2365,762,3127
"District Judge, 215th Judicial District",0773,1693,638,2331,4414,52.81%,543,1624,2167
"District Judge, 215th Judicial District",0774,150,66,216,426,50.70%,50,161,211
"District Judge, 215th Judicial District",0775,50,1,51,102,50.00%,1,49,50
"District Judge, 215th Judicial District",0776,1432,538,1970,3276,60.13%,1071,808,1879
"District Judge, 215th Judicial District",0777,201,105,306,767,39.90%,66,229,295
"District Judge, 215th Judicial District",0778,0,3,3,0,0.00%,0,3,3
"District Judge, 215th Judicial District",0779,263,160,423,1019,41.51%,95,290,385
"District Judge, 215th Judicial District",0780,170,130,300,666,45.05%,91,185,276
"District Judge, 215th Judicial District",0781,1235,612,1847,3782,48.84%,552,1148,1700
"District Judge, 215th Judicial District",0782,1048,368,1416,2355,60.13%,809,524,1333
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Fred Shuchart,DEM Elaine Palmer,Totals
"District Judge, 215th Judicial District",0783,197,90,287,520,55.19%,19,255,274
"District Judge, 215th Judicial District",0784,408,119,527,1062,49.62%,15,493,508
"District Judge, 215th Judicial District",0785,1229,357,1586,1896,83.65%,794,717,1511
"District Judge, 215th Judicial District",0786,396,177,573,1258,45.55%,165,375,540
"District Judge, 215th Judicial District",0787,180,83,263,542,48.52%,71,175,246
"District Judge, 215th Judicial District",0788,2,0,2,13,15.38%,2,0,2
"District Judge, 215th Judicial District",0789,1377,420,1797,2998,59.94%,1018,710,1728
"District Judge, 215th Judicial District",0790,1143,329,1472,2523,58.34%,479,929,1408
"District Judge, 215th Judicial District",0791,9,3,12,29,41.38%,2,10,12
"District Judge, 215th Judicial District",0792,648,415,1063,1954,54.40%,226,780,1006
"District Judge, 215th Judicial District",0793,984,416,1400,2620,53.44%,686,636,1322
"District Judge, 215th Judicial District",0794,626,411,1037,3208,32.33%,97,904,1001
"District Judge, 215th Judicial District",0795,396,2,398,1281,31.07%,111,256,367
"District Judge, 215th Judicial District",0796,1371,465,1836,3041,60.37%,727,1046,1773
"District Judge, 215th Judicial District",0797,0,0,0,0,0.00%,0,0,0
"District Judge, 215th Judicial District",0798,222,142,364,521,69.87%,127,215,342
"District Judge, 215th Judicial District",0799,58,26,84,171,49.12%,15,68,83
"District Judge, 215th Judicial District",0800,1934,730,2664,4216,63.19%,1561,971,2532
"District Judge, 215th Judicial District",0801,90,44,134,261,51.34%,42,87,129
"District Judge, 215th Judicial District",0802,54,21,75,224,33.48%,18,54,72
"District Judge, 215th Judicial District",0803,2665,547,3212,4514,71.16%,2158,908,3066
"District Judge, 215th Judicial District",0804,2703,682,3385,5303,63.83%,1730,1520,3250
"District Judge, 215th Judicial District",0805,1597,454,2051,2874,71.36%,1550,409,1959
"District Judge, 215th Judicial District",0806,1001,324,1325,1889,70.14%,788,488,1276
"District Judge, 215th Judicial District",0807,792,349,1141,2163,52.75%,184,916,1100
"District Judge, 215th Judicial District",0808,142,57,199,232,85.78%,73,112,185
"District Judge, 215th Judicial District",0809,19,7,26,98,26.53%,13,12,25
"District Judge, 215th Judicial District",0810,47,31,78,197,39.59%,11,60,71
"District Judge, 215th Judicial District",0811,82,68,150,277,54.15%,30,114,144
"District Judge, 215th Judicial District",0812,0,0,0,0,0.00%,0,0,0
"District Judge, 215th Judicial District",0813,1742,434,2176,3488,62.39%,924,1169,2093
"District Judge, 215th Judicial District",0814,1968,827,2795,5483,50.98%,528,2161,2689
"District Judge, 215th Judicial District",0815,0,0,0,0,0.00%,0,0,0
"District Judge, 215th Judicial District",0816,23,10,33,64,51.56%,4,27,31
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Fred Shuchart,DEM Elaine Palmer,Totals
"District Judge, 215th Judicial District",0817,2787,550,3337,4700,71.00%,2281,943,3224
"District Judge, 215th Judicial District",0818,208,104,312,737,42.33%,63,235,298
"District Judge, 215th Judicial District",0819,108,31,139,228,60.96%,74,54,128
"District Judge, 215th Judicial District",0820,0,0,0,0,0.00%,0,0,0
"District Judge, 215th Judicial District",0821,362,188,550,1295,42.47%,63,457,520
"District Judge, 215th Judicial District",0822,571,185,756,1574,48.03%,26,698,724
"District Judge, 215th Judicial District",0823,1339,410,1749,3017,57.97%,888,780,1668
"District Judge, 215th Judicial District",0824,1057,410,1467,2762,53.11%,301,1111,1412
"District Judge, 215th Judicial District",0825,9,7,16,21,76.19%,3,12,15
"District Judge, 215th Judicial District",0826,177,70,247,355,69.58%,129,97,226
"District Judge, 215th Judicial District",0827,218,234,452,1042,43.38%,135,301,436
"District Judge, 215th Judicial District",0828,1174,281,1455,1965,74.05%,1102,285,1387
"District Judge, 215th Judicial District",0829,101,19,120,235,51.06%,32,81,113
"District Judge, 215th Judicial District",0830,2,2,4,2,200.00%,4,0,4
"District Judge, 215th Judicial District",0831,8,5,13,36,36.11%,6,6,12
"District Judge, 215th Judicial District",0832,124,50,174,364,47.80%,42,122,164
"District Judge, 215th Judicial District",0833,3,2,5,20,25.00%,1,4,5
"District Judge, 215th Judicial District",0834,142,61,203,388,52.32%,19,181,200
"District Judge, 215th Judicial District",0835,87,71,158,311,50.80%,38,111,149
"District Judge, 215th Judicial District",0836,128,0,128,248,51.61%,11,108,119
"District Judge, 215th Judicial District",0837,0,0,0,0,0.00%,0,0,0
"District Judge, 215th Judicial District",0838,0,0,0,0,0.00%,0,0,0
"District Judge, 215th Judicial District",0839,419,174,593,1190,49.83%,123,444,567
"District Judge, 215th Judicial District",0840,829,228,1057,1780,59.38%,335,666,1001
"District Judge, 215th Judicial District",0841,1473,475,1948,3431,56.78%,428,1451,1879
"District Judge, 215th Judicial District",0842,1338,513,1851,3390,54.60%,674,1076,1750
"District Judge, 215th Judicial District",0843,595,298,893,1387,64.38%,157,695,852
"District Judge, 215th Judicial District",0844,4,0,4,10,40.00%,0,4,4
"District Judge, 215th Judicial District",0845,151,13,164,218,75.23%,95,59,154
"District Judge, 215th Judicial District",0846,51,22,83,229,36.24%,1,81,82
"District Judge, 215th Judicial District",0847,993,330,1323,2310,57.27%,330,936,1266
"District Judge, 215th Judicial District",0848,1011,201,1212,1875,64.64%,365,784,1149
"District Judge, 215th Judicial District",0849,731,455,1186,2272,52.20%,288,803,1091
"District Judge, 215th Judicial District",0850,129,19,148,208,71.15%,53,86,139
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Fred Shuchart,DEM Elaine Palmer,Totals
"District Judge, 215th Judicial District",0851,1885,441,2326,3597,64.66%,1495,722,2217
"District Judge, 215th Judicial District",0852,0,0,0,1,0.00%,0,0,0
"District Judge, 215th Judicial District",0853,1637,487,2124,2986,71.13%,1532,504,2036
"District Judge, 215th Judicial District",0854,40,19,59,175,33.71%,8,49,57
"District Judge, 215th Judicial District",0855,7,2,9,21,42.86%,4,4,8
"District Judge, 215th Judicial District",0856,0,3,3,0,0.00%,0,1,1
"District Judge, 215th Judicial District",0857,0,0,0,1,0.00%,0,0,0
"District Judge, 215th Judicial District",0858,121,35,156,334,46.71%,4,142,146
"District Judge, 215th Judicial District",0859,391,143,534,945,56.51%,106,402,508
"District Judge, 215th Judicial District",0860,1,1,2,0,0.00%,0,2,2
"District Judge, 215th Judicial District",0861,777,272,1049,1941,54.04%,160,854,1014
"District Judge, 215th Judicial District",0862,1989,508,2497,3739,66.78%,1410,983,2393
"District Judge, 215th Judicial District",0863,192,64,256,581,44.06%,13,239,252
"District Judge, 215th Judicial District",0864,693,574,1267,2708,46.79%,259,930,1189
"District Judge, 215th Judicial District",0865,9,2,11,21,52.38%,0,11,11
"District Judge, 215th Judicial District",0866,0,0,0,0,0.00%,0,0,0
"District Judge, 215th Judicial District",0867,0,0,0,0,0.00%,0,0,0
"District Judge, 215th Judicial District",0868,736,495,1231,2446,50.33%,297,871,1168
"District Judge, 215th Judicial District",0869,165,55,220,480,45.83%,31,183,214
"District Judge, 215th Judicial District",0870,0,2,2,0,0.00%,1,1,2
"District Judge, 215th Judicial District",0871,2,1,3,3,100.00%,0,3,3
"District Judge, 215th Judicial District",0872,16,6,22,68,32.35%,12,10,22
"District Judge, 215th Judicial District",0873,296,111,407,778,52.31%,91,302,393
"District Judge, 215th Judicial District",0874,1681,670,2351,3294,71.37%,1657,594,2251
"District Judge, 215th Judicial District",0875,1947,501,2448,3592,68.15%,1091,1259,2350
"District Judge, 215th Judicial District",0876,1945,577,2522,3485,72.37%,1704,713,2417
"District Judge, 215th Judicial District",0877,1803,528,2331,3651,63.85%,840,1411,2251
"District Judge, 215th Judicial District",0878,685,110,795,1039,76.52%,629,132,761
"District Judge, 215th Judicial District",0879,1215,413,1628,2843,57.26%,657,906,1563
"District Judge, 215th Judicial District",0880,1354,471,1825,2467,73.98%,1338,423,1761
"District Judge, 215th Judicial District",0881,2465,927,3392,5638,60.16%,847,2424,3271
"District Judge, 215th Judicial District",0882,1952,595,2547,4317,59.00%,722,1711,2433
"District Judge, 215th Judicial District",0883,2252,928,3180,5613,56.65%,506,2550,3056
"District Judge, 215th Judicial District",0884,149,55,204,396,51.52%,29,170,199
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Fred Shuchart,DEM Elaine Palmer,Totals
"District Judge, 215th Judicial District",0885,1570,323,1893,2811,67.34%,1023,803,1826
"District Judge, 215th Judicial District",0886,495,152,647,906,71.41,%,342,251,593
"District Judge, 215th Judicial District",0887,234,95,329,492,66.87%,170,126,296
"District Judge, 215th Judicial District",0888,817,289,1106,1867,59.24%,336,727,1063
"District Judge, 215th Judicial District",0889,113,28,141,238,59.24%,39,93,132
"District Judge, 215th Judicial District",0890,445,98,543,1214,44.73%,219,281,500
"District Judge, 215th Judicial District",0891,753,194,947,1376,68.82%,364,526,890
"District Judge, 215th Judicial District",0892,420,123,543,900,60.33%,179,323,502
"District Judge, 215th Judicial District",0893,1,4,5,9,55.56%,2,3,5
"District Judge, 215th Judicial District",0894,801,305,1106,2087,52.99%,139,926,1065
"District Judge, 215th Judicial District",0895,417,252,669,834,80.22%,308,303,611
"District Judge, 215th Judicial District",0896,838,254,1092,1467,74.44%,416,605,1021
"District Judge, 215th Judicial District",0897,812,365,1177,1766,66.65%,603,512,1115
"District Judge, 215th Judicial District",0898,792,301,1093,1821,60.02%,421,632,1053
"District Judge, 215th Judicial District",0899,746,165,911,1264,72.07%,557,327,884
"District Judge, 215th Judicial District",0900,7,0,7,12,58.33%,1,6,7
"District Judge, 215th Judicial District",0901,0,0,0,0,0.00%,0,0,0
"District Judge, 215th Judicial District",0902,1310,361,1671,2217,75.37%,849,695,1544
"District Judge, 215th Judicial District",0903,1314,354,1668,2558,65.21%,1191,417,1608
"District Judge, 215th Judicial District",0904,2,0,2,8,25.00%,1,1,2
"District Judge, 215th Judicial District",0905,390,136,526,946,55.60%,183,319,502
"District Judge, 215th Judicial District",0906,19,3,22,28,78.57%,15,7,22
"District Judge, 215th Judicial District",0907,53,37,90,201,44.78%,8,79,87
"District Judge, 215th Judicial District",0908,0,0,0,0,0.00%,0,0,0
"District Judge, 215th Judicial District",0909,7,1,8,21,38.10%,2,5,7
"District Judge, 215th Judicial District",0910,78,37,115,236,48.73%,33,72,105
"District Judge, 215th Judicial District",0911,237,63,300,576,52.08%,185,104,289
"District Judge, 215th Judicial District",0912,712,167,879,1341,65.55%,489,340,829
"District Judge, 215th Judicial District",0913,102,12,114,241,47.30%,19,91,110
"District Judge, 215th Judicial District",0914,42,0,42,124,33.87%,8,33,41
"District Judge, 215th Judicial District",0915,0,0,0,0,0.00%,0,0,0
"District Judge, 215th Judicial District",0916,1472,308,1780,2205,80.73%,1309,385,1694
"District Judge, 215th Judicial District",0917,33,9,42,147,28.57%,3,35,38
"District Judge, 215th Judicial District",0918,3,1,4,7,57.14%,1,3,4
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Fred Shuchart,DEM Elaine Palmer,Totals
"District Judge, 215th Judicial District",0919,1,0,1,1,100.00%,0,1,1
"District Judge, 215th Judicial District",0920,41,13,54,79,68.35%,30,21,51
"District Judge, 215th Judicial District",0921,27,6,33,61,54.10%,6,26,32
"District Judge, 215th Judicial District",0922,0,0,0,0,0.00%,0,0,0
"District Judge, 215th Judicial District",0923,2331,350,2681,3536,75.82%,1983,632,2615
"District Judge, 215th Judicial District",0924,0,0,0,0,0.00%,0,0,0
"District Judge, 215th Judicial District",0925,0,0,0,0,0.00%,0,0,0
"District Judge, 215th Judicial District",0926,550,149,699,967,72.29%,459,204,663
"District Judge, 215th Judicial District",0927,966,173,1139,1771,64.31%,552,499,1051
"District Judge, 215th Judicial District",0928,4,1,5,7,71.43%,0,5,5
"District Judge, 215th Judicial District",0929,0,0,0,0,0.00%,0,0,0
"District Judge, 215th Judicial District",0930,217,83,300,606,49.50%,12,275,287
"District Judge, 215th Judicial District",0931,87,28,115,141,81.56%,53,53,106
"District Judge, 215th Judicial District",0932,0,1,1,0,0.00%,0,1,1
"District Judge, 215th Judicial District",0933,297,93,390,668,58.38%,118,257,375
"District Judge, 215th Judicial District",0934,9,4,13,37,35.14%,7,6,13
"District Judge, 215th Judicial District",0935,12,9,21,55,38.18%,7,13,20
"District Judge, 215th Judicial District",0936,23,9,32,76,42.11%,6,22,28
"District Judge, 215th Judicial District",0937,0,0,0,0,0.00%,0,0,0
"District Judge, 215th Judicial District",0938,72,19,91,255,35.69%,27,63,90
"District Judge, 215th Judicial District",0939,1,1,2,4,50.00%,1,1,2
"District Judge, 215th Judicial District",0940,9,3,12,28,42.86%,1,11,12
"District Judge, 215th Judicial District",0941,284,144,428,870,49.20%,192,209,401
"District Judge, 215th Judicial District",0942,102,16,118,152,77.63%,81,34,115
"District Judge, 215th Judicial District",0943,192,28,220,774,28.42%,48,159,207
"District Judge, 215th Judicial District",0944,1,0,1,1,100.00%,0,1,1
"District Judge, 215th Judicial District",0945,8,6,14,21,66.67%,0,13,13
"District Judge, 215th Judicial District",0946,4,2,e,14,42.86%,1,5,6
"District Judge, 215th Judicial District",0947,428,198,626,820,76.34%,312,263,575
"District Judge, 215th Judicial District",0948,0,0,0,1,0.00%,0,0,0
"District Judge, 215th Judicial District",0949,84,61,145,210,69.05%,62,73,135
"District Judge, 215th Judicial District",0950,0,0,0,0,0.00%,0,0,0
"District Judge, 215th Judicial District",0951,114,62,176,304,57.89%,40,125,165
"District Judge, 215th Judicial District",0952,32,15,47,65,72.31%,31,14,45
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Fred Shuchart,DEM Elaine Palmer,Totals
"District Judge, 215th Judicial District",0953,4,0,4,8,50.00%,0,4,4
"District Judge, 215th Judicial District",0954,0,0,0,0,0.00%,0,0,0
"District Judge, 215th Judicial District",0955,3528,572,4100,5108,80.27%,2810,1096,3906
"District Judge, 215th Judicial District",0956,0,0,0,0,0.00%,0,0,0
"District Judge, 215th Judicial District",0957,282,39,321,585,54.87%,35,275,310
"District Judge, 215th Judicial District",0958,430,231,661,1202,54.99%,110,518,628
"District Judge, 215th Judicial District",0959,0,0,0,0,0.00%,0,0,0
"District Judge, 215th Judicial District",0960,829,235,1064,1471,72.33%,213,811,1024
"District Judge, 215th Judicial District",0961,820,318,1138,2369,48.04%,168,918,1086
"District Judge, 215th Judicial District",0962,33,12,45,88,51.14%,9,33,42
"District Judge, 215th Judicial District",0963,225,91,316,528,59.85%,119,177,296
"District Judge, 215th Judicial District",0964,2145,325,2470,3179,77.70%,1386,982,2368
"District Judge, 215th Judicial District",0965,101,35,136,345,39.42%,85,42,127
"District Judge, 215th Judicial District",0966,368,189,557,1332,41.82%,126,394,520
"District Judge, 215th Judicial District",0967,82,24,106,186,56.99%,37,64,101
"District Judge, 215th Judicial District",0968,455,127,582,906,64.24%,117,446,563
"District Judge, 215th Judicial District",0969,299,71,370,624,59.29%,5,358,363
"District Judge, 215th Judicial District",0970,223,102,325,810,40.12%,29,273,302
"District Judge, 215th Judicial District",0971,0,0,0,0,0.00%,0,0,0
"District Judge, 215th Judicial District",0972,0,0,0,0,0.00%,0,0,0
"District Judge, 215th Judicial District",0973,504,138,642,999,64.26%,404,207,611
"District Judge, 215th Judicial District",0974,0,1,1,0,0.00%,1,0,1
"District Judge, 215th Judicial District",0975,104,26,130,190,68.42%,58,61,119
"District Judge, 215th Judicial District",0976,190,152,342,712,48.03%,165,154,319
"District Judge, 215th Judicial District",0977,160,108,268,617,43.44%,85,173,258
"District Judge, 215th Judicial District",0978,0,0,0,0,0.00%,0,0,0
"District Judge, 215th Judicial District",0979,0,0,0,0,0.00%,0,0,0
"District Judge, 215th Judicial District",0980,686,333,1019,1412,72.17%,693,265,958
"District Judge, 215th Judicial District",0981,12,2,14,31,45.16%,0,13,13
"District Judge, 215th Judicial District",0982,1898,501,2399,2916,82.27%,1761,534,2295
"District Judge, 215th Judicial District",0983,55,17,82,198,41.41,%,43,37,80
"District Judge, 215th Judicial District",0984,75,57,133,341,39.00%,10,121,131
"District Judge, 215th Judicial District",0985,222,56,278,355,78.31%,127,137,264
"District Judge, 215th Judicial District",0986,153,78,231,537,43.02%,23,200,223
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Fred Shuchart,DEM Elaine Palmer,Totals
