Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Kevin Jewell,DEM Candance White,Totals
"Justice, 14th Court of Appeals District, Place 2",0561,1024,624,1648,3138,52.52%,938,628,1566
"Justice, 14th Court of Appeals District, Place 2",0562,222,116,338,691,48.91%,41,267,308
"Justice, 14th Court of Appeals District, Place 2",0563,2072,337,2409,3468,69.46%,1811,503,2314
"Justice, 14th Court of Appeals District, Place 2",0564,1552,526,2078,3240,64.14%,534,1436,1970
"Justice, 14th Court of Appeals District, Place 2",0565,338,148,484,1414,34.23%,74,388,462
"Justice, 14th Court of Appeals District, Place 2",0566,1185,441,1626,3029,53.68%,394,1170,1564
"Justice, 14th Court of Appeals District, Place 2",0567,988,390,1356,2851,47.56%,329,937,1266
"Justice, 14th Court of Appeals District, Place 2",0568,1838,697,2533,3638,69.63%,1565,813,2378
"Justice, 14th Court of Appeals District, Place 2",0569,2031,747,2778,4125,67.35%,1284,1315,2599
"Justice, 14th Court of Appeals District, Place 2",0570,789,278,1047,1598,65.52%,365,608,973
"Justice, 14th Court of Appeals District, Place 2",0571,521,314,835,1950,42.82%,226,562,788
"Justice, 14th Court of Appeals District, Place 2",0572,1523,444,1967,3308,59.46%,818,1055,1873
"Justice, 14th Court of Appeals District, Place 2",0573,489,215,704,1625,43.32%,16,678,694
"Justice, 14th Court of Appeals District, Place 2",0574,112,74,186,391,47.57%,21,155,176
"Justice, 14th Court of Appeals District, Place 2",0575,1905,535,2440,3557,68.60%,1294,1038,2332
"Justice, 14th Court of Appeals District, Place 2",0576,1108,375,1483,2830,52.40%,86,1353,1439
"Justice, 14th Court of Appeals District, Place 2",0577,885,205,1090,1586,68.73%,624,408,1032
"Justice, 14th Court of Appeals District, Place 2",0578,1028,405,1431,1862,76.85%,861,468,1329
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Kevin Jewell,DEM Candance White,Totals
"Justice, 14th Court of Appeals District, Place 2",0579,287,181,468,1139,41.09%,72,368,440
"Justice, 14th Court of Appeals District, Place 2",0580,366,108,474,985,48.12%,18,449,467
"Justice, 14th Court of Appeals District, Place 2",0581,456,137,593,1033,57.41%,13,561,574
"Justice, 14th Court of Appeals District, Place 2",0582,543,232,775,1607,48.23%,50,696,746
"Justice, 14th Court of Appeals District, Place 2",0583,433,155,588,1286,45.72%,16,558,574
"Justice, 14th Court of Appeals District, Place 2",0584,367,120,487,1062,45.86%,36,432,468
"Justice, 14th Court of Appeals District, Place 2",0585,829,280,1109,2346,47.27%,53,1020,1073
"Justice, 14th Court of Appeals District, Place 2",0586,1792,790,2582,4521,57.11%,1416,1062,2478
"Justice, 14th Court of Appeals District, Place 2",0587,1204,431,1635,2870,56.97%,509,1067,1576
"Justice, 14th Court of Appeals District, Place 2",0588,1940,606,2546,3780,67.35%,1646,805,2451
"Justice, 14th Court of Appeals District, Place 2",0589,1540,545,2085,3780,55.16%,947,1058,2005
"Justice, 14th Court of Appeals District, Place 2",0590,1230,400,1630,2176,74.91%,1235,320,1555
"Justice, 14th Court of Appeals District, Place 2",0591,651,462,1113,2274,48.94%,263,790,1053
"Justice, 14th Court of Appeals District, Place 2",0592,449,272,721,1446,49.86%,139,541,680
"Justice, 14th Court of Appeals District, Place 2",0593,1581,755,2316,4179,55.42%,870,1318,2188
"Justice, 14th Court of Appeals District, Place 2",0594,1243,316,1559,2578,60.47%,405,1113,1518
"Justice, 14th Court of Appeals District, Place 2",0595,601,299,900,1833,49.10%,123,745,868
"Justice, 14th Court of Appeals District, Place 2",0596,1378,501,1879,3574,52.57%,808,972,1780
"Justice, 14th Court of Appeals District, Place 2",0597,1204,609,1813,3587,50.54%,596,1122,1718
"Justice, 14th Court of Appeals District, Place 2",0598,2389,731,3120,5253,59.39%,1013,1978,2991
"Justice, 14th Court of Appeals District, Place 2",0599,1378,493,1871,3005,62.26%,625,1186,1811
"Justice, 14th Court of Appeals District, Place 2",0600,1603,776,2379,4204,56.59%,760,1500,2260
"Justice, 14th Court of Appeals District, Place 2",0601,2220,670,2890,4151,69.62%,2035,759,2794
"Justice, 14th Court of Appeals District, Place 2",0602,754,234,988,1441,68.56%,645,305,950
"Justice, 14th Court of Appeals District, Place 2",0603,2340,725,3065,4666,65.69%,1680,1261,2941
"Justice, 14th Court of Appeals District, Place 2",0604,1817,375,2192,3189,68.74%,1777,320,2097
"Justice, 14th Court of Appeals District, Place 2",0605,1713,599,2312,4217,54.83%,507,1693,2200
"Justice, 14th Court of Appeals District, Place 2",0606,319,111,430,970,44.33%,9,406,415
"Justice, 14th Court of Appeals District, Place 2",0607,163,51,214,712,30.06%,22,184,206
"Justice, 14th Court of Appeals District, Place 2",0608,156,77,233,570,40.88%,75,145,220
"Justice, 14th Court of Appeals District, Place 2",0609,2037,729,2766,4305,64.25%,1558,1091,2649
"Justice, 14th Court of Appeals District, Place 2",0610,665,343,1008,2086,48.32%,397,549,946
"Justice, 14th Court of Appeals District, Place 2",0611,980,229,1209,2527,47.84%,43,1142,1185
"Justice, 14th Court of Appeals District, Place 2",0612,1930,431,2361,3388,69.69%,1737,525,2262
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Kevin Jewell,DEM Candance White,Totals
"Justice, 14th Court of Appeals District, Place 2",0613,937,339,1276,2368,53.89%,201,1018,1219
"Justice, 14th Court of Appeals District, Place 2",0614,1949,645,2594,4566,56.81%,735,1741,2476
"Justice, 14th Court of Appeals District, Place 2",0615,1075,301,1376,2086,65.96%,691,627,1318
"Justice, 14th Court of Appeals District, Place 2",0616,1809,611,2420,3516,68.83%,1539,762,2301
"Justice, 14th Court of Appeals District, Place 2",0617,1704,650,2354,4179,56.33%,737,1523,2260
"Justice, 14th Court of Appeals District, Place 2",0618,1699,545,2244,3801,59.04%,881,1283,2164
"Justice, 14th Court of Appeals District, Place 2",0619,2793,663,3456,4916,70.30%,2468,891,3359
"Justice, 14th Court of Appeals District, Place 2",0620,1748,333,2081,3318,62.72%,1045,940,1985
"Justice, 14th Court of Appeals District, Place 2",0621,536,200,736,1272,57.86%,286,407,693
"Justice, 14th Court of Appeals District, Place 2",0622,2131,591,2722,4562,59.67%,1406,1189,2595
"Justice, 14th Court of Appeals District, Place 2",0623,1960,461,2421,3919,61.78%,1460,860,2320
"Justice, 14th Court of Appeals District, Place 2",0624,297,59,356,456,78.07%,265,78,343
"Justice, 14th Court of Appeals District, Place 2",0625,924,372,1296,1864,69.53%,686,546,1232
"Justice, 14th Court of Appeals District, Place 2",0626,2281,784,3065,4816,63.64%,1549,1361,2910
"Justice, 14th Court of Appeals District, Place 2",0627,935,649,1584,3235,48.96%,393,1113,1506
"Justice, 14th Court of Appeals District, Place 2",0628,716,545,1261,2420,52.11%,415,764,1179
"Justice, 14th Court of Appeals District, Place 2",0629,162,96,258,750,34.40%,31,218,249
"Justice, 14th Court of Appeals District, Place 2",0630,2671,541,3212,4738,67.79%,311,2818,3129
"Justice, 14th Court of Appeals District, Place 2",0631,1842,398,2240,3263,68.65%,1434,710,2144
"Justice, 14th Court of Appeals District, Place 2",0632,4,1,5,241,2.07%,0,5,5
"Justice, 14th Court of Appeals District, Place 2",0633,2286,601,2887,3912,73.80%,1916,865,2781
"Justice, 14th Court of Appeals District, Place 2",0634,1437,499,1936,3259,59.40%,1060,803,1863
"Justice, 14th Court of Appeals District, Place 2",0635,1646,520,2166,3512,61.67%,1548,517,2065
"Justice, 14th Court of Appeals District, Place 2",0636,2303,922,3225,4569,70.58%,2760,351,3111
"Justice, 14th Court of Appeals District, Place 2",0637,1095,423,1518,2591,58.59%,306,1099,1405
"Justice, 14th Court of Appeals District, Place 2",0638,850,348,1198,2310,51.86%,91,1080,1171
"Justice, 14th Court of Appeals District, Place 2",0639,1387,284,1671,2560,65.27%,1248,344,1592
"Justice, 14th Court of Appeals District, Place 2",0640,1619,615,2234,3927,56.89%,1210,944,2154
"Justice, 14th Court of Appeals District, Place 2",0641,1637,683,2320,3840,60.42%,1309,910,2219
"Justice, 14th Court of Appeals District, Place 2",0642,1030,270,1300,1783,72.91%,987,267,1254
"Justice, 14th Court of Appeals District, Place 2",0643,1951,593,2544,4189,60.73%,1161,1291,2452
"Justice, 14th Court of Appeals District, Place 2",0644,2087,689,2776,4446,62.44%,1541,1118,2659
"Justice, 14th Court of Appeals District, Place 2",0645,2151,769,2920,4517,64.64%,1149,1630,2779
"Justice, 14th Court of Appeals District, Place 2",0646,925,399,1324,2422,54.67%,318,934,1252
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Kevin Jewell,DEM Candance White,Totals
"Justice, 14th Court of Appeals District, Place 2",0647,1373,526,1899,4349,43.67%,406,1372,1778
"Justice, 14th Court of Appeals District, Place 2",0648,1859,500,2359,3487,67.65%,1603,677,2280
"Justice, 14th Court of Appeals District, Place 2",0649,1549,775,2324,4755,48.87%,553,1662,2215
"Justice, 14th Court of Appeals District, Place 2",0650,2033,819,2852,4039,70.61%,1878,855,2733
"Justice, 14th Court of Appeals District, Place 2",0651,1734,551,2285,3873,59.00%,1183,1002,2185
"Justice, 14th Court of Appeals District, Place 2",0652,1167,545,1712,2979,57.47%,250,1410,1660
"Justice, 14th Court of Appeals District, Place 2",0653,186,110,296,604,49.01%,65,219,284
"Justice, 14th Court of Appeals District, Place 2",0654,2387,698,3085,5063,60.93%,1508,1435,2943
"Justice, 14th Court of Appeals District, Place 2",0655,1953,761,2724,4495,60.60%,1426,1156,2582
"Justice, 14th Court of Appeals District, Place 2",0656,1106,401,1507,2737,55.06%,69,1391,1460
"Justice, 14th Court of Appeals District, Place 2",0657,684,276,960,1487,64.56%,314,599,913
"Justice, 14th Court of Appeals District, Place 2",0658,1299,494,1793,2901,61.81%,1059,668,1727
"Justice, 14th Court of Appeals District, Place 2",0659,2808,733,3541,5161,68.61%,2370,1040,3410
"Justice, 14th Court of Appeals District, Place 2",0660,1575,345,1920,3087,62.20%,183,1672,1855
"Justice, 14th Court of Appeals District, Place 2",0661,1949,774,2723,4363,62.41%,1299,1298,2597
"Justice, 14th Court of Appeals District, Place 2",0662,2268,571,2839,4002,70.94%,2228,508,2736
"Justice, 14th Court of Appeals District, Place 2",0663,1338,448,1786,2340,76.32%,875,779,1654
"Justice, 14th Court of Appeals District, Place 2",0664,909,513,1422,2992,47.53%,257,1087,1344
"Justice, 14th Court of Appeals District, Place 2",0665,1327,360,1687,2354,71.67%,1306,321,1627
"Justice, 14th Court of Appeals District, Place 2",0666,0,0,0,0,0.00%,0,0,0
"Justice, 14th Court of Appeals District, Place 2",0667,1109,400,1509,2175,69.38%,1100,345,1445
"Justice, 14th Court of Appeals District, Place 2",0668,1552,719,2271,3669,61.90%,1309,874,2183
"Justice, 14th Court of Appeals District, Place 2",0669,1889,702,2591,3585,72.27%,1711,769,2480
"Justice, 14th Court of Appeals District, Place 2",0670,1996,416,2412,3335,72.32%,1884,438,2322
"Justice, 14th Court of Appeals District, Place 2",0671,1398,588,1986,3198,62.10%,1031,875,1906
"Justice, 14th Court of Appeals District, Place 2",0672,1724,489,2213,3433,64.46%,1475,664,2139
"Justice, 14th Court of Appeals District, Place 2",0673,1525,467,2092,3051,68.57%,1623,402,2025
"Justice, 14th Court of Appeals District, Place 2",0674,2356,610,2966,4228,70.15%,2094,768,2862
"Justice, 14th Court of Appeals District, Place 2",0675,0,0,0,0,0.00%,0,0,0
"Justice, 14th Court of Appeals District, Place 2",0676,1087,465,1552,2976,52.15%,558,917,1475
"Justice, 14th Court of Appeals District, Place 2",0677,423,259,682,1300,52.46%,148,486,634
"Justice, 14th Court of Appeals District, Place 2",0678,1164,294,1458,2660,54.81%,142,1269,1411
"Justice, 14th Court of Appeals District, Place 2",0679,1718,529,2247,3542,63.44%,1509,635,2144
"Justice, 14th Court of Appeals District, Place 2",0680,98,17,115,179,64.25%,44,68,112
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Kevin Jewell,DEM Candance White,Totals
"Justice, 14th Court of Appeals District, Place 2",0681,e,0,6,4,150.00%,2,4,6
"Justice, 14th Court of Appeals District, Place 2",0682,2113,690,2803,4313,64.99%,1956,745,2701
"Justice, 14th Court of Appeals District, Place 2",0683,82,5,87,302,28.81%,23,61,84
"Justice, 14th Court of Appeals District, Place 2",0684,1581,640,2321,3559,65.21%,1377,844,2221
"Justice, 14th Court of Appeals District, Place 2",0685,139,28,167,285,58.60%,74,76,150
"Justice, 14th Court of Appeals District, Place 2",0686,53,5,58,221,26.24%,15,41,56
"Justice, 14th Court of Appeals District, Place 2",0687,1510,400,1910,2713,70.40%,1212,602,1814
"Justice, 14th Court of Appeals District, Place 2",0688,2333,594,2927,3922,74.63%,2268,569,2837
"Justice, 14th Court of Appeals District, Place 2",0689,727,604,1331,2449,54.35%,538,704,1242
"Justice, 14th Court of Appeals District, Place 2",0690,1957,553,2520,3614,69.73%,1904,520,2424
"Justice, 14th Court of Appeals District, Place 2",0691,2132,551,2683,3690,72.71%,2008,589,2597
"Justice, 14th Court of Appeals District, Place 2",0692,1279,678,1957,3118,62.76%,1331,529,1860
"Justice, 14th Court of Appeals District, Place 2",0693,309,110,419,681,61.53%,108,286,394
"Justice, 14th Court of Appeals District, Place 2",0694,1005,319,1324,2478,53.43%,506,772,1278
"Justice, 14th Court of Appeals District, Place 2",0695,628,315,943,1842,51.19%,533,358,891
"Justice, 14th Court of Appeals District, Place 2",0696,727,312,1039,2027,51.26%,598,411,1009
"Justice, 14th Court of Appeals District, Place 2",0697,1299,552,1851,3238,57.16%,433,1345,1778
"Justice, 14th Court of Appeals District, Place 2",0698,1275,520,1795,3339,53.76%,194,1534,1728
"Justice, 14th Court of Appeals District, Place 2",0699,1277,398,1675,2387,70.17%,1032,533,1565
"Justice, 14th Court of Appeals District, Place 2",0700,726,247,973,1536,63.35%,801,142,943
"Justice, 14th Court of Appeals District, Place 2",0701,208,73,281,614,45.77%,115,141,256
"Justice, 14th Court of Appeals District, Place 2",0702,183,69,252,550,45.82%,32,208,240
"Justice, 14th Court of Appeals District, Place 2",0703,899,528,1427,1943,73.44%,993,372,1365
"Justice, 14th Court of Appeals District, Place 2",0704,1698,512,2210,3121,70.81%,1747,387,2134
"Justice, 14th Court of Appeals District, Place 2",0705,331,206,537,1513,35.49%,46,477,523
"Justice, 14th Court of Appeals District, Place 2",0706,1248,372,1620,2821,57.43%,572,953,1525
"Justice, 14th Court of Appeals District, Place 2",0707,377,69,446,757,58.92%,261,164,425
"Justice, 14th Court of Appeals District, Place 2",0708,162,98,260,592,43.92%,82,165,247
"Justice, 14th Court of Appeals District, Place 2",0709,2257,528,2785,4136,67.34%,1419,1255,2674
"Justice, 14th Court of Appeals District, Place 2",0710,1132,450,1582,2096,75.48%,848,626,1474
"Justice, 14th Court of Appeals District, Place 2",0711,1980,599,2579,3820,67.51%,1293,1165,2458
"Justice, 14th Court of Appeals District, Place 2",0712,1720,627,2347,4002,58.65%,810,1465,2275
"Justice, 14th Court of Appeals District, Place 2",0713,770,365,1135,2006,56.58%,513,573,1086
"Justice, 14th Court of Appeals District, Place 2",0714,102,28,130,306,42.48%,60,62,122
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Kevin Jewell,DEM Candance White,Totals
"Justice, 14th Court of Appeals District, Place 2",0715,553,239,792,1549,51.13%,352,401,753
"Justice, 14th Court of Appeals District, Place 2",0716,1218,419,1637,2720,60.18%,1118,454,1572
"Justice, 14th Court of Appeals District, Place 2",0717,974,232,1206,2082,57.93%,153,1005,1158
"Justice, 14th Court of Appeals District, Place 2",0718,2243,872,3115,4412,70.60%,1947,986,2933
"Justice, 14th Court of Appeals District, Place 2",0719,624,223,847,1644,51.52%,401,398,799
"Justice, 14th Court of Appeals District, Place 2",0720,2498,709,3207,4709,68.10%,2112,962,3074
"Justice, 14th Court of Appeals District, Place 2",0721,1455,603,2059,2926,70.71%,1277,679,1956
"Justice, 14th Court of Appeals District, Place 2",0722,1929,609,2538,4638,54.72%,145,2306,2451
"Justice, 14th Court of Appeals District, Place 2",0723,897,261,1158,1959,59.11%,213,897,1110
"Justice, 14th Court of Appeals District, Place 2",0724,395,146,541,800,67.63%,351,167,518
"Justice, 14th Court of Appeals District, Place 2",0725,976,294,1270,2336,54.37%,476,720,1196
"Justice, 14th Court of Appeals District, Place 2",0726,1271,321,1592,2207,72.13%,1344,200,1544
"Justice, 14th Court of Appeals District, Place 2",0727,983,415,1398,2708,51.62%,362,984,1346
"Justice, 14th Court of Appeals District, Place 2",0728,399,198,597,942,63.38%,345,221,566
"Justice, 14th Court of Appeals District, Place 2",0729,235,49,284,471,60.30%,157,116,273
"Justice, 14th Court of Appeals District, Place 2",0730,1361,406,1767,2435,72.57%,1095,582,1677
"Justice, 14th Court of Appeals District, Place 2",0731,2087,624,2711,4834,56.08%,1067,1527,2594
"Justice, 14th Court of Appeals District, Place 2",0732,793,449,1242,1943,63.92%,691,478,1169
"Justice, 14th Court of Appeals District, Place 2",0733,55,25,80,303,26.40%,23,53,76
"Justice, 14th Court of Appeals District, Place 2",0734,2307,556,2863,4294,66.67%,1804,951,2755
"Justice, 14th Court of Appeals District, Place 2",0735,157,61,218,251,86.85%,115,98,213
"Justice, 14th Court of Appeals District, Place 2",0736,14,3,17,42,40.48%,0,14,14
"Justice, 14th Court of Appeals District, Place 2",0737,21,6,27,56,48.21%,20,7,27
"Justice, 14th Court of Appeals District, Place 2",0738,435,214,649,1497,43.35%,101,532,633
"Justice, 14th Court of Appeals District, Place 2",0739,979,440,1419,2971,47.76%,591,765,1356
"Justice, 14th Court of Appeals District, Place 2",0740,280,169,449,1005,44.68%,222,200,422
"Justice, 14th Court of Appeals District, Place 2",0741,923,262,1185,1895,62.53%,280,843,1123
"Justice, 14th Court of Appeals District, Place 2",0742,1536,498,2034,2859,71.14%,1230,716,1946
"Justice, 14th Court of Appeals District, Place 2",0743,54,60,114,234,48.72%,38,68,106
"Justice, 14th Court of Appeals District, Place 2",0744,1010,444,1454,2103,69.14%,829,549,1378
"Justice, 14th Court of Appeals District, Place 2",0745,1214,446,1660,2543,65.28%,977,607,1584
"Justice, 14th Court of Appeals District, Place 2",0746,245,121,366,732,50.00%,169,169,338
"Justice, 14th Court of Appeals District, Place 2",0747,1746,693,2439,4096,59.55%,1016,1320,2336
"Justice, 14th Court of Appeals District, Place 2",0748,564,245,809,1556,51.99%,367,406,773
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Kevin Jewell,DEM Candance White,Totals
"Justice, 14th Court of Appeals District, Place 2",0749,115,1,116,432,26.85%,16,96,112
"Justice, 14th Court of Appeals District, Place 2",0750,294,122,416,809,51.42%,220,168,388
"Justice, 14th Court of Appeals District, Place 2",0751,2937,1013,3950,5893,67.03%,2341,1443,3784
"Justice, 14th Court of Appeals District, Place 2",0752,660,227,887,1484,59.77%,567,277,844
"Justice, 14th Court of Appeals District, Place 2",0753,258,53,311,512,60.74%,119,178,297
"Justice, 14th Court of Appeals District, Place 2",0754,388,262,650,1590,40.88%,26,604,630
"Justice, 14th Court of Appeals District, Place 2",0755,1784,955,2739,5015,54.62%,887,1707,2594
"Justice, 14th Court of Appeals District, Place 2",0756,687,309,996,1723,57.81%,302,647,949
"Justice, 14th Court of Appeals District, Place 2",0757,1867,601,2468,4792,51.50%,383,1999,2382
"Justice, 14th Court of Appeals District, Place 2",0758,2105,595,2700,3803,71.00%,1999,578,2577
"Justice, 14th Court of Appeals District, Place 2",0759,1389,375,1764,2779,63.48%,995,686,1681
"Justice, 14th Court of Appeals District, Place 2",0760,1219,268,1487,2162,68.78%,1190,243,1433
"Justice, 14th Court of Appeals District, Place 2",0761,1089,167,1256,1598,78.60%,879,312,1191
"Justice, 14th Court of Appeals District, Place 2",0762,929,303,1232,1828,67.40%,547,630,1177
"Justice, 14th Court of Appeals District, Place 2",0763,370,264,634,1249,50.76%,182,419,601
"Justice, 14th Court of Appeals District, Place 2",0764,2472,677,3149,4827,65.24%,1833,1174,3007
"Justice, 14th Court of Appeals District, Place 2",0765,2056,874,2930,5742,51.03%,746,2066,2812
"Justice, 14th Court of Appeals District, Place 2",0766,126,59,185,428,43.22%,31,135,166
"Justice, 14th Court of Appeals District, Place 2",0767,31,15,46,92,50.00%,17,26,43
"Justice, 14th Court of Appeals District, Place 2",0768,1479,387,1866,2643,70.60%,1414,384,1798
"Justice, 14th Court of Appeals District, Place 2",0769,85,14,99,184,53.80%,6,92,98
"Justice, 14th Court of Appeals District, Place 2",0770,103,42,145,388,37.37%,48,91,139
"Justice, 14th Court of Appeals District, Place 2",0771,572,210,782,1588,49.24%,319,429,748
"Justice, 14th Court of Appeals District, Place 2",0772,2807,477,3284,4606,71.30%,2393,756,3149
"Justice, 14th Court of Appeals District, Place 2",0773,1694,638,2332,4414,52.83%,557,1622,2179
"Justice, 14th Court of Appeals District, Place 2",0774,151,66,217,426,50.94%,51,161,212
"Justice, 14th Court of Appeals District, Place 2",0775,50,1,51,102,50.00%,1,49,50
"Justice, 14th Court of Appeals District, Place 2",0776,1433,538,1971,3276,60.16%,1083,804,1887
"Justice, 14th Court of Appeals District, Place 2",0777,201,105,306,767,39.90%,71,223,294
"Justice, 14th Court of Appeals District, Place 2",0778,0,3,3,0,0.00%,0,3,3
"Justice, 14th Court of Appeals District, Place 2",0779,263,160,423,1019,41.51%,95,288,383
"Justice, 14th Court of Appeals District, Place 2",0780,170,130,300,666,45.05%,88,186,274
"Justice, 14th Court of Appeals District, Place 2",0781,1235,612,1847,3782,48.84%,555,1153,1708
"Justice, 14th Court of Appeals District, Place 2",0782,1048,368,1416,2355,60.13%,828,518,1346
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Kevin Jewell,DEM Candance White,Totals
"Justice, 14th Court of Appeals District, Place 2",0783,197,90,287,520,55.19%,21,256,277
"Justice, 14th Court of Appeals District, Place 2",0784,408,119,527,1062,49.62%,15,493,508
"Justice, 14th Court of Appeals District, Place 2",0785,1230,357,1587,1896,83.70%,809,713,1522
"Justice, 14th Court of Appeals District, Place 2",0786,396,177,573,1258,45.55%,165,378,543
"Justice, 14th Court of Appeals District, Place 2",0787,180,83,263,542,48.52%,76,171,247
"Justice, 14th Court of Appeals District, Place 2",0788,2,0,2,13,15.38%,2,0,2
"Justice, 14th Court of Appeals District, Place 2",0789,1377,420,1797,2998,59.94%,1020,709,1729
"Justice, 14th Court of Appeals District, Place 2",0790,1143,329,1472,2523,58.34%,487,930,1417
"Justice, 14th Court of Appeals District, Place 2",0791,9,3,12,29,41.38%,2,10,12
"Justice, 14th Court of Appeals District, Place 2",0792,545,415,1063,1954,54.40%,243,765,1008
"Justice, 14th Court of Appeals District, Place 2",0793,984,416,1400,2620,53.44%,692,627,1319
"Justice, 14th Court of Appeals District, Place 2",0794,626,411,1037,3208,32.33%,101,902,1003
"Justice, 14th Court of Appeals District, Place 2",0795,396,2,398,1281,31.07%,107,260,367
"Justice, 14th Court of Appeals District, Place 2",0796,1371,455,1535,3041,60.37%,734,1043,1777
"Justice, 14th Court of Appeals District, Place 2",0797,0,0,0,0,0.00%,0,0,0
"Justice, 14th Court of Appeals District, Place 2",0798,222,142,364,521,69.87%,135,212,347
"Justice, 14th Court of Appeals District, Place 2",0799,55,26,84,171,49.12%,15,68,83
"Justice, 14th Court of Appeals District, Place 2",0800,1934,730,2664,4216,63.19%,1577,970,2547
"Justice, 14th Court of Appeals District, Place 2",0801,90,44,134,261,51.34%,40,88,128
"Justice, 14th Court of Appeals District, Place 2",0802,54,21,75,224,33.48%,1,7,55,72
"Justice, 14th Court of Appeals District, Place 2",0803,2555,547,3213,4514,71.18%,2179,909,3088
"Justice, 14th Court of Appeals District, Place 2",0804,2703,682,3385,5303,63.83%,1760,1507,3267
"Justice, 14th Court of Appeals District, Place 2",0805,1598,454,2052,2874,71.40%,1560,404,1964
"Justice, 14th Court of Appeals District, Place 2",0806,1002,324,1326,1889,70.20%,790,490,1280
"Justice, 14th Court of Appeals District, Place 2",0807,793,349,1142,2163,52.80%,192,911,1103
"Justice, 14th Court of Appeals District, Place 2",0808,142,57,199,232,85.78%,71,115,186
"Justice, 14th Court of Appeals District, Place 2",0809,19,7,26,98,26.53%,13,12,25
"Justice, 14th Court of Appeals District, Place 2",0810,47,31,78,197,39.59%,11,60,71
"Justice, 14th Court of Appeals District, Place 2",0811,52,68,150,277,54.15%,29,112,141
"Justice, 14th Court of Appeals District, Place 2",0812,0,0,0,0,0.00%,0,0,0
"Justice, 14th Court of Appeals District, Place 2",0813,1742,434,2176,3488,62.39%,926,1170,2096
"Justice, 14th Court of Appeals District, Place 2",0814,1973,827,2800,5483,51.07%,534,2161,2695
"Justice, 14th Court of Appeals District, Place 2",0815,0,0,0,0,0.00%,0,0,0
"Justice, 14th Court of Appeals District, Place 2",0816,23,10,33,64,51.56%,4,27,31
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Kevin Jewell,DEM Candance White,Totals
"Justice, 14th Court of Appeals District, Place 2",0817,2789,550,3339,4700,71.04%,2293,943,3236
"Justice, 14th Court of Appeals District, Place 2",0818,209,104,313,737,42.47%,61,240,301
"Justice, 14th Court of Appeals District, Place 2",0819,108,31,139,228,60.96%,69,55,124
"Justice, 14th Court of Appeals District, Place 2",0820,0,0,0,0,0.00%,0,0,0
"Justice, 14th Court of Appeals District, Place 2",0821,362,188,550,1295,42.47%,65,456,521
"Justice, 14th Court of Appeals District, Place 2",0822,571,185,756,1574,48.03%,25,701,726
"Justice, 14th Court of Appeals District, Place 2",0823,1339,410,1749,3017,57.97%,899,772,1671
"Justice, 14th Court of Appeals District, Place 2",0824,1057,410,1467,2762,53.11%,300,1115,1415
"Justice, 14th Court of Appeals District, Place 2",0825,9,7,16,21,76.19%,3,12,15
"Justice, 14th Court of Appeals District, Place 2",0826,177,70,247,355,69.58%,126,103,229
"Justice, 14th Court of Appeals District, Place 2",0827,218,234,452,1042,43.38%,143,295,438
"Justice, 14th Court of Appeals District, Place 2",0828,1174,281,1455,1965,74.05%,1098,295,1393
"Justice, 14th Court of Appeals District, Place 2",0829,101,19,120,235,51.06%,33,81,114
"Justice, 14th Court of Appeals District, Place 2",0830,2,2,4,2,200.00%,4,0,4
"Justice, 14th Court of Appeals District, Place 2",0831,8,5,13,36,36.11%,6,6,12
"Justice, 14th Court of Appeals District, Place 2",0832,124,50,174,364,47.80%,42,124,166
"Justice, 14th Court of Appeals District, Place 2",0833,3,2,5,20,25.00%,1,4,5
"Justice, 14th Court of Appeals District, Place 2",0834,142,61,203,388,52.32%,20,180,200
"Justice, 14th Court of Appeals District, Place 2",0835,87,71,158,311,50.80%,37,110,147
"Justice, 14th Court of Appeals District, Place 2",0836,128,0,128,248,51.61%,11,106,117
"Justice, 14th Court of Appeals District, Place 2",0837,0,0,0,0,0.00%,0,0,0
"Justice, 14th Court of Appeals District, Place 2",0838,0,0,0,0,0.00%,0,0,0
"Justice, 14th Court of Appeals District, Place 2",0839,419,174,593,1190,49.83%,120,447,567
"Justice, 14th Court of Appeals District, Place 2",0840,829,228,1057,1780,59.38%,331,678,1009
"Justice, 14th Court of Appeals District, Place 2",0841,1474,475,1949,3431,56.81%,428,1457,1885
"Justice, 14th Court of Appeals District, Place 2",0842,1340,513,1853,3390,54.66%,688,1068,1756
"Justice, 14th Court of Appeals District, Place 2",0843,595,298,893,1387,64.38%,155,702,857
